facility_code,facility_name,county_name,district,facility_type,ownership,beds,cots,open_24_hours,open_weekends,operational_status,latitude,longitude
19755,Harrison Mudoga Mc,Trans Nzoia,Trans Nzoia West,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,1.016667,34.983333
20178,Havillan Medical Center,Kajiado,Kajiado North,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-1.286389,36.817223
17008,Health Bridge Medical Clinic,Mandera,Mandera West,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,3.933333,41.866667
19497,Health Care Services,Nairobi,Makadara,Medical Clinic,Private Practice - General Practitioner,0,0,f,f,Operational,-1.286389,36.817223
14543,Health For All (ACK) Clinic,Kajiado,Kajiado Central,Dispensary,Christian Health Association of Kenya,1,0,f,f,Operational,-1.85,36.783333
19597,Health Source Medical Centre,Mombasa,Kisauni,Medical Clinic,Private Practice - General Practitioner,0,0,f,f,Operational,-4.043477,39.668205
18278,Healthways Medical Centre,Nairobi,Langata,Medical Clinic,Private Enterprise (Institution),0,0,f,f,Operational,-1.286389,36.817223
19824,Hebron CFW Clinic,Kirinyaga,Kirinyaga South,Medical Clinic,Non-Governmental Organizations,0,0,f,f,Operational,-0.5,37.283333
19813,Hebron CFW Clinic (Kutus),Kirinyaga,Kirinyaga South,Medical Clinic,Non-Governmental Organizations,0,0,f,f,Operational,-0.5,37.283333
12057,Heillu Dispensary,Marsabit,Moyale,Dispensary,Ministry of Health,0,0,f,f,Operational,2.333333,37.983333
14545,Hekima Dispensary,Nakuru,Nakuru,Dispensary,Other Faith Based,0,0,f,f,Operational,-0.303099,36.080026
20093,Hekima HTC Center,Migori,Kuria West,VCT Centre (Stand-Alone),Non-Governmental Organizations,0,0,f,f,Operational,-1.066667,34.466667
21263,Hekima Medical Centre,Nairobi,Roysambu,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,-1.286389,36.817223
11408,Hekima Medical Clinic,Mombasa,Kisauni,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,-4.043477,39.668205
20229,Helna Medical Clinic,Laikipia,Nyahururu,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Pending Opening,0.366667,37.033333
18373,Helpers of Mary Dispensary,Nakuru,Nakuru,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,0,0,f,f,Operational,-0.303099,36.080026
20962,Helsamy Medical Clinic,Kisumu,Kisumu East,Medical Clinic,Private Practice - Clinical Officer,1,0,f,f,Operational,-0.10221,34.761711
13603,Hema Hospital,Kisii,Kisii Central,Other Hospital,Private Enterprise (Institution),168,20,f,f,Operational,-0.683333,34.766667
17674,Hema Medical Clinic,Vihiga,Hamisi,Medical Clinic,Private Practice - Nurse / Midwife,2,2,f,f,Operational,0.083333,34.716667
10312,Heni Health Centre,Nyandarua,Kinangop,Health Centre,Ministry of Health,0,0,f,f,Operational,-0.183333,36.366667
16180,Heri Medical Centre,Kilifi,Kilifi North,Medical Clinic,Private Enterprise (Institution),0,0,f,f,Operational,-3.633333,39.85
