facility_id,facility_code,name,county,district,type,owner,nearest_town,beds,cots,open_24_hours,open_weekends,operational_status,latitude,longitude
291,19849,Cheboet Dispensary,Bomet,Sotik,Dispensary,Ministry of Health,Cheboet,0,0,f,f,Operational,-0.783333,35.35
292,20060,Cheboin Dispensary,Uasin Gishu,Eldoret East,Dispensary,Ministry of Health,Eldoret,0,0,f,f,Operational,0.514277,35.269779
293,18236,Cheboin Dispensary (Bureti),Kericho,Bureti,Dispensary,Ministry of Health,Litein Town,0,0,f,f,Operational,-0.366667,35.283333
294,14300,Cheborgei Health Centre,Kericho,Bureti,Health Centre,Ministry of Health,Cheborgei,20,0,f,f,Operational,-0.366667,35.283333
295,14301,Chebororwa Health Centre,Elgeyo Marakwet,Marakwet West,Health Centre,Ministry of Health,Eldoret,18,0,f,f,Operational,\N,\N
296,14302,Cheboyo Dispensary,Bomet,Chepalungu,Dispensary,Ministry of Health,Chebunyo Market,0,0,f,f,Operational,-0.783333,35.35
297,15848,Chebukaka Dispensary,Bungoma,Bungoma Central,Dispensary,Other Faith Based,Chebukaka,0,0,f,f,Operational,0.566667,34.566667
298,20159,Chebukwabi Dispensary,Bungoma,Kimilili Bungoma,Dispensary,Ministry of Health,Chebukwabi,1,0,f,f,Operational,0.566667,34.566667
299,14303,Chebulbai Dispensary,Elgeyo Marakwet,Marakwet West,Dispensary,Ministry of Health,Kapsowar,0,0,f,f,Operational,\N,\N
300,14304,Chebunyo Dispensary,Bomet,Chepalungu,Dispensary,Ministry of Health,Chebunyo Market,0,0,f,f,Operational,-0.783333,35.35
301,20814,Chebunyo Stand Alone VCT,Bomet,Chepalungu,VCT Centre (Stand-Alone),Other Faith Based,Chebunyo Market,0,0,f,f,Operational,-0.783333,35.35
302,15849,Chebwai Mission Dispensary,Kakamega,Kakamega North (Malava),Dispensary,Other Faith Based,Butali,0,0,f,f,Operational,0.284767,34.752308
303,14305,Chechan Dispensary,Elgeyo Marakwet,Marakwet East,Dispensary,Ministry of Health,Kapsowar,0,0,f,f,Operational,\N,\N
304,21155,Checkpoint Medical Clinic,Kiambu,Ruiru,Medical Clinic,Private Practice - Clinical Officer,Hakairu,0,0,f,f,Operational,-1.166667,36.833333
305,11968,Cheera Dispensary,Tharaka Nithi,Meru South,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Chuka Town /Cheera Market,12,0,f,f,Operational,\N,\N
306,14306,Chegilet Dispensary,Elgeyo Marakwet,Keiyo,Dispensary,Ministry of Health,Iten,0,0,f,f,Operational,\N,\N
307,14386,Chesongoch Health Centre,Elgeyo Marakwet,Marakwet East,Other Hospital,Kenya Episcopal Conference-Catholic Secretariat,Kapsowar,43,7,f,f,Operational,0.514277,35.269779
308,14387,Chesta Dispensary,West Pokot,Pokot Central,Dispensary,Other Faith Based,Sigor,0,0,f,f,Operational,1.233333,35.116667
